Class,Region ID,Centroid X,Centroid Y,Orientation,Percent Filled,Aspect Ratio
specs,13,550.422,173.684,-0.0488871,100,0.112348
specs,14,284.015,100.359,-0.130273,100,0.463224
specs,1,169.179,239.41,-0.50592,100,0.190476
specs,2,528.335,275.225,0.362032,100,1.53176
specs,3,349.602,398.892,-0.0571911,100,0.400626
specs,4,271.158,282.701,-0.232066,100,0.570389
specs,5,583.952,223.45,0.373577,100,4.51079
specs,6,178.166,215.409,-0.0354545,100,0.0779914
specs,7,619,201.77,0.562119,100,1.86207
specs,8,636.911,238.285,-1.5115,100,9.28571
specs,9,266.591,190.14,-0.0184364,100,0.103685
specs,10,539.751,180.836,-0.0614695,100,0.107631
specs,11,284.279,105.356,-0.135313,100,0.483568
specs,1,104,237,-0.475273,100,0.153846
specs,2,203.417,276.682,-0.264527,100,0.566429
specs,3,453.283,260.436,0.278847,100,0.607843
specs,4,113.855,213.703,-0.0701628,100,0.0822987
specs,5,511.798,210.411,0.341583,100,4.18875
specs,6,542.333,186.667,0.785398,100,2
specs,7,0,0,0,0,0
specs,8,191.164,186.699,-0.0502126,100,0.114992
specs,9,459.162,170.549,-0.0964959,100,0.106824
specs,10,327.865,236.852,0.0759568,100,0.749609
specs,1,0,0,0,0,0
specs,2,105,236.5,-0.553574,100,0.2
specs,3,0,0,0,0,0
specs,4,204.716,276.195,-0.265615,100,0.564602
specs,5,454.986,259.775,0.280418,100,0.61039
specs,6,115.944,213.158,-0.0742378,100,0.0804911
specs,7,513.728,209.675,0.33518,100,4.26786
specs,8,544.222,185.778,0.785398,100,4
specs,9,98,184.5,0,100,0.5
specs,10,192.759,186.064,-0.0499684,100,0.115126
specs,11,460.502,169.775,-0.0961383,100,0.107764
specs,12,327.471,237.027,0.0771843,100,0.749609
specs,1,103,235.5,-0.553574,100,0.142857
specs,2,204.175,274.589,-0.269516,100,0.568018
specs,3,456.666,256.946,0.273163,100,0.602564
specs,4,113.061,211.721,-0.0757787,100,0.091212
specs,5,515.973,206.214,0.337962,100,4.23009
specs,6,546.333,181.75,0.588003,100,1
specs,7,191.678,183.787,-0.0546475,100,0.118034
specs,8,461.686,165.989,-0.101772,100,0.109341
specs,9,327.236,237.942,0.0797444,100,0.749609
specs,1,0,0,0,0,0
specs,2,102,234.5,-0.553574,100,0.142857
specs,3,203.211,273.786,-0.271353,100,0.565517
specs,4,456.641,255.644,0.267618,100,0.598726
specs,5,112.064,210.893,-0.0724043,100,0.0954774
specs,6,515.846,204.46,0.330742,100,4.19754
specs,7,546.667,180,1.5708,100,1
specs,8,190.402,182.648,-0.057347,100,0.118429
specs,9,461.368,164.218,-0.103925,100,0.11091
specs,10,327.345,238.372,0.079997,100,0.749609
specs,1,0,0,0,0,0
specs,2,102,234.5,-0.553574,100,0.142857
specs,3,203.211,273.786,-0.271353,100,0.565517
specs,4,456.641,255.644,0.267618,100,0.598726
specs,5,112.064,210.893,-0.0724043,100,0.0954774
specs,6,515.846,204.46,0.330742,100,4.19754
specs,7,546.667,180,1.5708,100,1
specs,8,190.402,182.648,-0.057347,100,0.118429
specs,9,461.368,164.218,-0.103925,100,0.11091
specs,10,327.345,238.372,0.079997,100,0.749609
specs,1,0,0,0,0,0
specs,2,102,234.5,-0.553574,100,0.142857
specs,3,203.211,273.786,-0.271353,100,0.565517
specs,4,456.641,255.644,0.267618,100,0.598726
specs,5,112.064,210.893,-0.0724043,100,0.0954774
specs,6,515.846,204.46,0.330742,100,4.19754
specs,7,546.667,180,1.5708,100,1
specs,8,190.402,182.648,-0.057347,100,0.118429
specs,9,461.368,164.218,-0.103925,100,0.11091
specs,10,327.345,238.372,0.079997,100,0.749609
specs,1,0,0,0,0,0.125
specs,2,208.193,276.822,-0.28047,100,0.562841
specs,3,118.901,214.637,-0.0854162,100,0.0937104
specs,4,461.52,257.012,0.261394,100,0.597484
specs,5,521.005,205.376,0.324229,100,4.25
specs,6,551.333,180.667,0.785398,100,2
specs,7,195.129,186.146,-0.0646374,100,0.117613
specs,8,465.377,165.392,-0.112355,100,0.110245
specs,9,325.97,237.339,0.0923828,100,0.749609
specs,1,0,0,0,0,0.111111
specs,2,207.14,276.833,-0.282797,100,0.567337
specs,3,118.254,214.743,-0.0871903,100,0.0916335
specs,4,460.819,256.53,0.25537,100,0.5875
specs,5,520.555,204.735,0.326513,100,4.22344
specs,6,0,0,0,0,0
specs,7,550.556,179.778,1.32258,100,2
specs,8,193.87,186.061,-0.0661251,100,0.118565
specs,9,464.319,164.779,-0.114092,100,0.109773
specs,10,326.131,237.473,0.093035,100,0.749609
specs,1,0,0,0,0,0
specs,2,206.221,275.411,-0.283326,100,0.565725
specs,3,116.106,213.603,-0.0900146,100,0.0939484
specs,4,460.146,254.453,0.253959,100,0.5875
specs,5,519.841,202.494,0.320777,100,4.17202
specs,6,550.222,177.778,0.785398,100,4
specs,7,192.854,184.486,-0.066904,100,0.119049
specs,8,463.156,162.592,-0.11661,100,0.11119
specs,9,326.362,238.107,0.0931316,100,0.749609
specs,1,0,0,0,0,0
specs,2,0,0,0,0,0
specs,3,209.81,274.773,-0.280391,100,0.561762
specs,4,119.81,212.626,-0.0844095,100,0.0925613
specs,5,463.875,254.702,0.259288,100,0.59375
specs,6,523.51,202.935,0.326704,100,4.28488
specs,7,553.556,177.778,1.32258,100,2
specs,8,196.847,183.745,-0.064601,100,0.118967
specs,9,467.296,162.729,-0.11332,100,0.110482
specs,10,325.481,238.063,0.0946506,100,0.749609
specs,1,0,0,0,0,0.125
specs,2,209.456,274.339,-0.280378,100,0.56165
specs,3,119.098,212.258,-0.0873841,100,0.0913462
specs,4,463.826,254.412,0.256336,100,0.5875
specs,5,523.486,202.531,0.32447,100,4.35805
specs,6,553.917,178.083,0.785398,100,3
specs,7,196.429,183.375,-0.0645294,100,0.119665
specs,8,467.127,162.357,-0.113233,100,0.11119
specs,9,325.498,238.237,0.0935839,100,0.749609
specs,1,0,0,0,0,0.142857
specs,2,0,0,0,0,0
specs,3,209.192,275.768,-0.28373,100,0.565078
specs,4,118.785,214.402,-0.090133,100,0.0915141
specs,5,462.112,255.036,0.250663,100,0.591195
specs,6,521.3,203.14,0.318318,100,4.36985
specs,7,551.333,178.25,-0.588003,100,1
specs,8,195.867,185.39,-0.0680835,100,0.119435
specs,9,465.127,163.408,-0.117005,100,0.110482
specs,10,325.788,237.802,0.0953581,100,0.749609
specs,1,0,0,0,0,0.125
specs,2,209.935,276.576,-0.283312,100,0.563098
specs,3,120.274,214.948,-0.089283,100,0.0929615
specs,4,463.234,255.892,0.255945,100,0.597484
specs,5,522.563,203.949,0.320373,100,4.26971
specs,6,552.889,179.222,0.950547,100,1
specs,7,196.586,186.017,-0.0689063,100,0.119176
specs,8,466.297,164.167,-0.115989,100,0.110646
specs,9,325.535,237.481,0.0967938,100,0.749609
specs,1,0,0,0,0,0.111111
specs,2,210.699,277.317,-0.28253,100,0.566569
specs,3,121.205,215.536,-0.0868605,100,0.0938303
specs,4,463.733,257,0.257651,100,0.597484
specs,5,522.994,205.17,0.322409,100,4.2851
specs,6,553.333,180.667,0.785398,100,0.666667
specs,7,197.602,186.782,-0.0665995,100,0.117798
specs,8,467.178,165.392,-0.115518,100,0.109065
specs,9,325.412,237.119,0.096647,100,0.749609
specs,1,0,0,0,0,0.111111
specs,2,211.746,276.534,-0.280357,100,0.567626
specs,3,122.299,214.598,-0.0856639,100,0.0940678
specs,4,464.872,256.583,0.260654,100,0.594937
specs,5,524.282,204.853,0.324925,100,4.17714
specs,6,554.333,179.75,0.588003,100,1
specs,7,198.756,185.994,-0.0653147,100,0.117613
specs,8,468.558,164.932,-0.112568,100,0.110473
specs,9,325.172,237.285,0.0966906,100,0.749609
specs,1,0,0,0,0,0.111111
specs,2,211.746,276.534,-0.280357,100,0.567626
specs,3,122.299,214.598,-0.0856639,100,0.0940678
specs,4,464.872,256.583,0.260654,100,0.594937
specs,5,524.282,204.853,0.324925,100,4.17714
specs,6,554.333,179.75,0.588003,100,1
specs,7,198.756,185.994,-0.0653147,100,0.117613
specs,8,468.558,164.932,-0.112568,100,0.110473
specs,9,325.172,237.285,0.0966906,100,0.749609
specs,1,515.272,248.444,0.503024,100,3.98477
specs,2,457.979,285.57,0.431214,100,1.60359
specs,3,156,222.5,-0.553574,100,0.166667
specs,4,240.562,268.959,-0.123912,100,1.76879
specs,5,477.497,208.579,0.0430379,100,10.1672
specs,6,156.179,202.436,0.0816435,100,9.28572
specs,7,243.513,190.625,0.0918843,100,10.3692
specs,8,324.716,233.862,0.0283117,100,0.749609
specs,1,0,0,0,0,0
specs,2,463.08,277.74,0.430216,100,1.56453
specs,3,518.508,238.519,0.478832,100,4.06184
specs,4,549.667,221.333,0.785398,100,2
specs,5,158.013,219.473,-0.389402,100,0.21875
specs,6,243.458,265.134,-0.145223,100,1.75122
specs,7,156.175,198.895,0.07822,100,15
specs,8,483.879,199.286,0.0299111,100,11.5045
specs,9,0,0,0,0,0
specs,10,244.464,185.729,0.0717236,100,11
specs,11,324.288,234.985,0.0398967,100,0.749609
specs,1,354.502,351.536,-0.195893,100,0.2
specs,2,390.332,353.941,0.275239,100,3.03518
specs,3,185.649,341.135,0.416591,100,2.16474
specs,4,255.291,307.115,0.332199,100,0.702479
specs,5,438.008,305.035,1.17769,100,1.14706
specs,6,221.592,219.403,-0.97175,100,0.841828
specs,1,22.3406,218.246,1.02807,100,1.2
specs,2,526.994,227.358,0.546401,100,5.32048
specs,3,447.689,270.149,0.411527,100,1.7035
specs,4,565.762,201.429,0.484241,100,3.33333
specs,5,178.885,248.289,-0.118324,100,1.69128
specs,6,72.6757,170.216,0.0218736,100,0.121212
specs,7,480.331,173.274,0.0481467,100,12.4609
specs,8,164.599,152.832,0.0550528,100,9.64103
specs,9,329.609,241.565,-0.05116,100,0.749609
specs,1,20.3901,219.858,1.24948,100,1.14286
specs,2,525.609,227.874,0.544799,100,5.22845
specs,3,0,0,0,0,0
specs,4,446.448,270.806,0.408712,100,1.67381
specs,5,564.667,202.053,0.287475,100,2.33333
specs,6,177.333,249.551,-0.120167,100,1.69315
specs,7,69.8205,171.503,0.00397092,100,0.16129
specs,8,479.115,173.891,0.0469786,100,12.4254
specs,9,162.534,153.909,0.0530811,100,9.73684
specs,10,329.982,241.178,-0.0493631,100,0.749609
specs,1,21.2302,225.048,1.05261,100,1.33333
specs,2,524.819,230.322,0.538826,100,5.21782
specs,3,445.684,273.509,0.403932,100,1.70664
specs,4,563.095,203.976,0.361701,100,3
specs,5,177.442,253.606,-0.127096,100,1.68252
specs,6,70.3924,176.462,0.0133589,100,0.15914
specs,7,478.518,176.98,0.0413166,100,12.9015
specs,8,161.683,158.701,0.047599,100,9.58496
specs,9,330.059,239.555,-0.0355946,100,0.749609
specs,1,19.9931,225.083,1.06268,100,1.28571
specs,2,527.162,229.756,0.54046,100,5.53877
specs,3,0,0,0,0,0
specs,4,446.136,272.993,0.400254,100,1.70308
specs,5,563.574,202.631,0.308103,100,2.93333
specs,6,0,0,0,0,0
specs,7,176.446,253.661,-0.130439,100,1.67361
specs,8,67.5652,176.604,-0.00668034,100,0.17623
specs,9,477.942,174.848,0.035968,100,12.408
specs,10,161.067,158.351,0.0431687,100,9.71824
specs,11,329.472,239.804,-0.0363806,100,0.749609
specs,1,19.4773,228.977,1.08346,100,1.2
specs,2,526.081,232.365,0.540373,100,5.54913
specs,3,445.171,275.761,0.399751,100,1.68026
specs,4,561.987,204.891,0.352761,100,3.75385
specs,5,175.881,257.063,-0.133961,100,1.67767
specs,6,65.814,180.171,-0.00615835,100,0.166667
specs,7,476.917,177.798,0.0322342,100,12.5662
specs,8,160.266,162.017,0.0418195,100,9.63719
specs,9,329.722,238.417,-0.028471,100,0.749609
specs,1,18.1622,236.387,1.07706,100,1
specs,2,522.743,235.432,0.531283,100,5.37714
specs,3,442.303,279.476,0.391488,100,1.68511
specs,4,558.86,207.64,0.378755,100,3.84615
specs,5,173.972,262.959,-0.144136,100,1.66487
specs,6,63.7297,187.171,0.0405399,100,0.2
specs,7,473.844,181.841,0.0261713,100,13.3608
specs,8,156.509,168.737,0.0319737,100,0.0993789
specs,9,330.239,236.259,-0.0108259,100,0.749609
specs,1,19.8952,236.276,1.1936,100,0.666667
specs,2,523.751,236.175,0.535117,100,5.33696
specs,3,443.303,279.952,0.393104,100,1.70525
specs,4,0,0,0,0,0
specs,5,559.897,208.513,0.315415,100,0.307692
specs,6,175.436,263.137,-0.142027,100,1.66361
specs,7,65.2727,187.192,0.0458942,100,0.230769
specs,8,474.465,182.48,0.0255703,100,13.0025
specs,9,158.157,168.962,0.0329702,100,0.1
specs,10,330.019,236.084,-0.0103635,100,0.749609
specs,1,15.6377,238.5,1.00124,100,1.28571
specs,2,448.052,280.435,0.390827,100,1.67742
specs,3,530.584,235.42,0.527739,100,5.57848
specs,4,566.345,206.893,0.340264,100,3.24444
specs,5,174.415,264.527,-0.149077,100,1.66192
specs,6,61.0714,187.583,-0.024894,100,0.25
specs,7,480.689,180.383,0.0218014,100,13.0576
specs,8,155.661,168.372,0.0260929,100,9.82392
specs,9,329.064,235.818,-0.0107924,100,0.749609
specs,1,17.7431,238.917,0.932093,100,1.41176
specs,2,448.676,280.898,0.390637,100,1.69064
specs,3,530.762,236.014,0.528106,100,5.47243
specs,4,566.923,207.72,0.349261,100,2.7619
specs,5,175.921,264.998,-0.147945,100,1.66326
specs,6,62.9462,188.333,0.0218908,100,0.247934
specs,7,481.16,181.249,0.0227605,100,13.1292
specs,8,157.485,169.237,0.0277481,100,9.78652
specs,9,328.966,235.519,-0.00766509,100,0.749609
specs,1,19.9869,238.15,0.752397,100,1.42857
specs,2,450.995,280.787,0.394561,100,1.69091
specs,3,533.002,236.107,0.530502,100,5.61325
specs,4,569.366,208,0.361731,100,2.85714
specs,5,178.23,264.367,-0.145931,100,1.67273
specs,6,65.1605,187.321,0.040734,100,0.284314
specs,7,483.754,181.142,0.0248674,100,13.0806
specs,8,160.43,168.496,0.0302839,100,9.86
specs,9,328.557,235.618,-0.00819969,100,0.749609
specs,1,0,0,0,0,0
specs,2,20.2083,241.868,0.867701,100,1.28571
specs,3,449.032,282.967,0.390818,100,1.68649
specs,4,530.668,238.221,0.528458,100,5.62405
specs,5,566.406,209.812,0.328496,100,3.24444
specs,6,177.411,267.354,-0.148749,100,1.66279
specs,7,64.5238,191.036,0.0300449,100,0.166667
specs,8,481.056,183.791,0.0204707,100,13.4338
specs,9,159.323,172.105,0.0283438,100,0.0993789
specs,10,328.97,234.438,2.07223e-05,100,0.749609
specs,1,18.7391,242.667,0.763566,100,1.28571
specs,2,447.979,283.584,0.390458,100,1.66855
specs,3,530.27,238.818,0.527179,100,5.43143
specs,4,0,0,0,0,0
specs,5,564.889,209.884,0.293958,100,3.90196
specs,6,176.031,268.09,-0.150744,100,1.66499
specs,7,62.9123,191.667,-0.0736879,100,0.18018
specs,8,480.56,184.207,0.0220885,100,13.2456
specs,9,157.103,172.693,0.0247413,100,0.0993789
specs,10,329.176,234.185,0.00074168,100,0.749609
specs,1,17.6471,241.948,0.969292,100,1.42857
specs,2,449.294,283.491,0.391858,100,1.70437
specs,3,531.958,238.6,0.527266,100,5.55882
specs,4,567.493,209.95,0.301222,100,3.4375
specs,5,175.801,267.6,-0.149544,100,1.66297
specs,6,61.5758,190.727,-0.0774824,100,0.181818
specs,7,481.589,183.623,0.0211036,100,13.0187
specs,8,156.933,171.692,0.0259625,100,0.0981595
specs,9,328.862,234.382,-0.00387881,100,0.749609
specs,1,11.5,239.5,1.01087,100,1.66667
specs,2,449.066,281.282,0.390864,100,1.68367
specs,3,532.186,235.624,0.52666,100,5.66797
specs,4,568.981,207.029,0.320534,100,3.14583
specs,5,172.127,265.597,-0.148756,100,1.66493
specs,6,56.0933,187.787,-0.0891896,100,0.153846
specs,7,482.371,180.158,0.0220738,100,13.2481
specs,8,152.997,168.204,0.0259799,100,9.81919
specs,9,328.998,235.561,-0.0142502,100,0.749609
specs,1,7.13462,238.705,0.861426,100,1.28571
specs,2,447.699,280.046,0.388817,100,1.68101
specs,3,531.547,234.048,0.525474,100,5.59707
specs,4,568.19,205.01,0.347803,100,3.35294
specs,5,168.927,264.582,-0.15102,100,1.66106
specs,6,52.5167,186.425,-0.0204125,100,0.306667
specs,7,480.82,178.192,0.0208516,100,13.2308
specs,8,148.672,166.498,0.0232219,100,0.10119
specs,9,329.362,236.22,-0.0193459,100,0.749609
specs,1,6.3268,241.007,0.867272,100,1.42857
specs,2,446.281,281.256,0.386488,100,1.67889
specs,3,529.991,235.071,0.52443,100,5.4123
specs,4,0,0,0,0,0
specs,5,566.6,205.964,0.308526,100,3.58823
specs,6,167.832,266.404,-0.153599,100,1.65946
specs,7,51.0631,188.613,-0.0489231,100,0.291139
specs,8,479.464,179.563,0.0189795,100,12.9867
specs,9,147.27,168.55,0.0219535,100,9.9521
specs,10,329.728,235.514,-0.0137044,100,0.749609
specs,1,6.67273,238.988,0.829146,100,1.42857
specs,2,447.365,280.52,0.390516,100,1.68213
specs,3,530.742,234.488,0.526849,100,5.43299
specs,4,568.261,206.033,0.389341,100,3
specs,5,168.58,264.802,-0.14969,100,1.66293
specs,6,51.8968,186.429,-0.0139519,100,0.342541
specs,7,480.819,178.909,0.0222987,100,12.8822
specs,8,148.853,166.612,0.0258845,100,9.92857
specs,9,329.626,236.074,-0.0203157,100,0.749609
specs,1,6.67273,238.988,0.829146,100,1.42857
specs,2,447.365,280.52,0.390516,100,1.68213
specs,3,530.742,234.488,0.526849,100,5.43299
specs,4,568.261,206.033,0.389341,100,3
specs,5,168.58,264.802,-0.14969,100,1.66293
specs,6,51.8968,186.429,-0.0139519,100,0.342541
specs,7,480.819,178.909,0.0222987,100,12.8822
specs,8,148.853,166.612,0.0258845,100,9.92857
specs,9,329.626,236.074,-0.0203157,100,0.749609
specs,1,4.22222,245.909,0.430157,100,0.75
specs,2,447.677,287.93,0.39921,100,1.65075
specs,3,530.297,241.779,0.530884,100,5.45753
specs,4,567.698,213.344,0.44164,100,2.36667
specs,5,168.292,271.853,-0.149258,100,1.66713
specs,6,51.0889,192.544,-0.0116068,100,0.272727
specs,7,481.624,186.587,0.0245828,100,13.1018
specs,8,148.24,173.229,0.027549,100,9.8694
specs,9,330.161,232.823,-0.0096028,100,0.749609
specs,1,9.1,249.08,0.811554,100,1.66667
specs,2,447.361,289.985,0.396763,100,1.67456
specs,3,529.643,244.188,0.525755,100,5.43811
specs,4,0,0,0,0,0
specs,5,566.946,215.891,0.426845,100,2.84722
specs,6,170.447,274.295,-0.151245,100,1.65857
specs,7,54.3137,196.118,0.000371494,100,0.218487
specs,8,481.524,189.56,0.0247482,100,13.8337
specs,9,149.843,176.872,0.0242949,100,10.1742
specs,10,329.889,231.667,0.000610626,100,0.749609
specs,1,9.39855,251.558,0.814079,100,1.66667
specs,2,447.015,292.056,0.396947,100,1.67407
specs,3,529.282,246.242,0.526735,100,5.53712
specs,4,566.34,217.956,0.399383,100,2.86111
specs,5,170.39,276.542,-0.152001,100,1.66007
specs,6,54.7971,198.377,0.0344482,100,0.313253
specs,7,481.4,191.673,0.0237284,100,13.7883
specs,8,149.603,179.348,0.0236333,100,10
specs,9,329.992,230.685,0.00580872,100,0.749609
specs,1,10.1926,252.363,0.592547,100,1.5
specs,2,445.72,292.567,0.395822,100,1.6756
specs,3,527.906,246.999,0.529697,100,5.44304
specs,4,564.551,218.494,0.437008,100,2.7
specs,5,170.236,277.219,-0.15255,100,1.65672
specs,6,55.2807,199.544,-0.02441,100,0.222222
specs,7,479.839,192.581,0.0247823,100,13.8037
specs,8,150.051,180.403,0.0238942,100,0.100629
specs,9,330.231,230.457,0.00910879,100,0.749609
specs,1,10.5556,252.348,0.777192,100,1.5
specs,2,446.099,292.752,0.398036,100,1.6766
specs,3,528.272,247.35,0.528843,100,5.51017
specs,4,0,0,0,0,0
specs,5,564.946,218.891,0.426845,100,2.84722
specs,6,170.789,277.206,-0.15224,100,1.65821
specs,7,55.4314,199.392,0.0409975,100,4.5
specs,8,479.683,192.784,0.0230836,100,13.7229
specs,9,151.452,180.47,0.0278901,100,10.0045
specs,10,330.186,230.408,0.00831907,100,0.749609
specs,1,13.044,250.44,0.806507,100,1.42857
specs,2,447.884,291.947,0.400585,100,1.67862
specs,3,530.144,246.919,0.5293,100,5.52107
specs,4,565.468,218.31,0.368864,100,2.5
specs,5,0,0,0,0,0
specs,6,172.897,275.742,-0.148243,100,1.66348
specs,7,58.1111,197.611,-0.0474759,100,0.181818
specs,8,481.736,192.127,0.0268056,100,13.3601
specs,9,153.856,179.011,0.0289679,100,10.1556
specs,10,329.763,230.889,0.00487137,100,0.749609
specs,1,13.963,252.741,0.766076,100,1.5
specs,2,446.323,293.211,0.396737,100,1.65769
specs,3,528.008,247.97,0.527005,100,5.55828
specs,4,0,0,0,0,0
specs,5,564.766,219.908,0.441592,100,0.384615
specs,6,172.676,277.588,-0.151923,100,1.6542
specs,7,58.4314,200.392,0.0409975,100,4.5
specs,8,479.887,193.739,0.0241196,100,13.7384
specs,9,153.603,181.545,0.0275898,100,9.96833
specs,10,330.005,230.154,0.0121251,100,0.749609
specs,1,15.9147,251.62,0.675852,100,1.5
specs,2,447.599,293.083,0.400863,100,1.6797
specs,3,529.18,248.174,0.531535,100,5.60145
specs,4,565.455,220.067,0.438682,100,3.07692
specs,5,174.356,276.787,-0.148741,100,1.65688
specs,6,59.8431,199.275,0.0799287,100,0.222222
specs,7,480.926,193.764,0.0261333,100,13.6324
specs,8,155.203,180.698,0.0284704,100,10.0844
specs,9,329.772,230.308,0.00974091,100,0.749609
specs,1,13.8056,252.701,0.700606,100,1.66667
specs,2,447.36,293.235,0.398867,100,1.65473
specs,3,529.332,248.074,0.526034,100,5.5952
specs,4,565.933,219.927,0.427326,100,0.416667
specs,5,172.987,277.492,-0.151055,100,1.65658
specs,6,58.0476,199.571,-0.0325822,100,0.2
specs,7,481.336,193.632,0.0247269,100,13.7234
specs,8,153.026,181.059,0.0255062,100,10.2905
specs,9,329.876,230.176,0.0106373,100,0.749609
specs,1,13.8582,252.752,0.690713,100,1.5
specs,2,447.313,293.364,0.398768,100,1.67515
specs,3,529.194,248.306,0.527708,100,5.55048
specs,4,565.455,220.067,0.438682,100,2.94444
specs,5,173.133,277.572,-0.150422,100,1.65711
specs,6,57.9556,199.711,-0.114919,100,0.197802
specs,7,480.652,193.844,0.0239523,100,13.602
specs,8,153.783,181.253,0.0267511,100,0.0949367
specs,9,329.897,230.124,0.0107642,100,0.749609
specs,1,19.4472,251.447,0.785398,100,1
specs,2,450.41,293.149,0.403181,100,1.66767
specs,3,531.426,248.38,0.52889,100,5.49293
specs,4,568.014,220.623,0.51157,100,2.7
specs,5,177.559,276.339,-0.146462,100,1.66343
specs,6,64.5417,198.562,-0.0254877,100,0.2
specs,7,484.063,194.213,0.0287569,100,13.2263
specs,8,159.299,180.426,0.0309047,100,0.1
